Old	New
48724	166
26649	25626
121022	156525
52403	54137
53559	53043
23556	13758
118076	2743
0	0
12729	12465
93549	93132
6201	0
193617	159741
12336	12371
137057	60022
139124	133420
229	162
63796	40352
2329	2329
122921	158780
159952	170067
95595	92167
95072	96094
84733	83817
24564	14785
29210	29724
26566	27076
18487	257
32264	32004
93023	272143
159016	181211
44556	44393
57592	57070
96482	96604
63522	178
115728	114673
167957	149288
87098	84560
452304	487059
110	689
17619	256
266673	260021
200341	199365
81680	83491
107593	107473
122387	122834
23933	22693
118	118
23350	23097
200621	192855
36954	36431
80942	117736
17497	254
20309	22960
213274	204805
264915	170701
151120	0
3891	3797
157580	162210
80375	117442
81	76
24283	14453
11199	11238
32272	32008
198371	178161
172275	177588
20250	22901
34742	34189
22422	12509
63311	62660
33239	32564
186075	0
206578	201368
66224	66109
162564	123194
32325	0
9757	6297
6775	782
227811	262003
71168	69571
347738	351854
93720	94818
46149	45930
52882	0
88309	89035
92268	88979
55823	82156
314	68332
122319	157376
41610	43566
57404	53505
99802	0
165410	167811
2	1
5941	5941
8511	8452
948848	238
170994	170093
16224	246
126677	0
143161	141259
13765	13563
12729	12465
190203	256339
118277	119658
26937	17286
420486	357941
8217	10129
103919	0
134565	170375
9960	10948
45462	74748
36566	35999
4536	4411
104836	104526
28839	35355
80616	69697
736161	756615
15066	14285
176980	150622
56909	66134
18328	17241
40761	51591
135424	133866
41513	61323
13386	13510
20657	0
3299	0
34759	6794
179522	159917
341052	346612
24199	14299
1492	1468
202902	195281
923348	919202
452304	487059
467	515
99774	100572
128645	99580
293569	244
110352	106528
51070	41058
171600	171155
108887	118110
1429734	1429734
208855	210666
112540	66905
277175	278042
130831	123971
502502	505416
53006	52226
1662135	1662135
18773	258
125317	162624
63437	63109
116971	114985
32075	21997
150111	4942
466484	459742
82683	83272
105036	102858
16622	15889
128963	168425
159607	149294
29198	21154
365465	425839
935571	947916
41036	0
467	515
327022	324401
37269	36821
890	870
86687	62655
142242	145260
162223	170765
112249	118942
6771	6748
128953	99542
57814	55661
848018	848018
36158	47256
168290	139051
23484	678
2346	2353
32969	32258
58913	689
85168	84328
2309	2309
205465	196133
43028	40367
90449	80403
157655	171349
115974	114084
194864	185137
80587	46167
256953	164057
151822	151822
203176	166916
211868	204896
33033	33521
61051	178
271607	272160
191724	188502
438127	0
75511	75178
136404	136081
195	181
32517	32190
0	0
636207	576392
12729	12465
70392	72553
108013	108263
241170	802648
0	0
406139	440332
118605	120046
332	35762
445380	445380
126711	161822
3775	1064
242239	237528
68462	72937
50995	28268
63784	0
58750	60286
182070	161828
26357	16958
637227	651313
90484	78667
125878	127421
382945	327627
125368	113887
183767	42105
754197	745405
246948	118
72823	72193
18099	17855
472728	493574
382186	298418
300	300
127177	161545
114925	115775
708389	554905
23926	14150
61740	178
64071	62649
167018	171064
24768	15006
181589	132010
130020	164945
76154	75280
119619	154942
242112	290708
35163	21981
2904050	795812
25376	36797
126547	131029
192420	185318
32812	23317
10820	15295
207270	279821
179708	179995
84111	72487
24764	15923
48511	49951
49943	48784
40794	42267
121060	121827
147208	146560
511382	450366
49110	49368
143238	174872
44345	44572
58704	0
127914	140111
72535	84621
118508	153584
467	515
99	0
33402	33194
25991	16200
22236	21740
159112	187433
60242	59138
74858	75242
60533	59270
31244	30773
2353	2303
64263	63497
120203	91836
179440	182283
23151	13274
373230	415866
130718	166644
23039	678
16767	254
24242	24466
25568	15796
70930	68445
76494	77961
149803	158133
68669	72176
81022	79988
198628	191204
147238	196556
639454	578328
23497	25886
41412	41057
146593	155292
63245	45228
142937	117299
5	5
122249	115057
73920	73848
24286	24401
81923	87120
170931	161819
121709	127172
99243	98703
4214	4077
128517	126972
3299	0
27546	0
295208	255425
77691	77735
4498	4231
0	39923
50719	52993
118765	153912
423312	417149
273651	274563
437	428
297276	178
96057	95709
194008	245462
69362	72407
69261	67993
44533	44300
79107	78978
130803	131659
123704	129995
6186	0
383454	68988
131652	125683
27259	130
50335	50977
30971	30794
61020	59913
119413	154936
23131	23325
724	709
5465	5337
214726	249480
36679	36313
15987	15519
120153	155798
42630	32946
24902	25222
200815	195841
4498	4231
25299	15546
119407	118108
108822	10874
24800	24225
201121	7854
142054	174163
9967	10722
10163	10902
69819	62552
6669	6540
52531	56259
80739	155594
47575	40216
40923	74457
110327	112355
100167	99251
202555	172156
37991	10648
23345	25649
41015	48293
39815	40091
42429	42721
83762	282
156185	161070
80217	158389
87012	88847
52026	43784
98357	97522
105029	119204
105782	123473
50329	60731
124239	130227
44496	44090
27473	0
42525	41545
24673	14834
108148	111474
73008	93224
244725	238291
68	0
20472	24035
77365	76347
76322	74681
12714	13083
61257	39349
145952	150307
23873	15949
118798	116810
21199	21244
15677	17287
287346	280696
227049	220502
160440	162388
18727	17744
56865	56814
33286	23699
440180	0
70221	70520
290063	351739
145815	176851
63850	64289
126	54146
168290	171483
1424	1394
113288	70882
89720	126155
3775	1064
27860	28666
58733	61461
30623	20096
86632	0
0	0
123334	158010
176562	140882
23427	22785
88997	109543
180866	163787
274	43258
3775	1064
20126	20592
349218	409238
122141	157423
41394	41394
71309	68980
356038	63819
99	0
369774	375389
5470	5330
85818	90190
64926	63791
73591	73720
