Old	New
10890	10841
7457	6534
27	27
208	208
5615	5976
15594	15567
529	547
12	55
1004	1032
6312	6476
6720	6881
8888	0
196	196
5288	5478
529	547
16	16
38	38
345	345
1636	1636
9266	10460
7355	7387
1002	1030
1127	999
38	38
474	474
6107	6131
3179	0
6048	6005
7572	7611
10821	7909
1629	0
1192	1172
8	82
18582	18088
9237	9691
30768	31354
5014	5036
10892	10909
1569	0
11802	11942
4591	4526
12314	26901
146	2077
640	662
17	17
5579	5048
16240	0
6436	6512
2	2
1364	1364
615	635
31814	108
28333	28859
1175	43
8842	0
17359	17402
2899	2902
1220	1220
6130	6201
2900	2838
38	38
3056	2836
4427	393
6856	0
3262	4468
58	66
2336	2961
2407	2421
879	879
7249	7241
1891	1694
2771	2857
6461	6331
1757	1645
5347	5665
6656	9786
2203	2199
3328	3922
6733	6964
6452	6210
24	24
980	0
0	0
3449	407
21039	21246
26547	32044
38	38
10	10
8194	8399
8675	8635
12689	15306
14	14
3869	3805
15402	12613
34690	55
11208	11301
5649	4938
1463	1463
8448	8457
11422	11422
10721	11115
6241	3694
13001	14280
14068	12822
22	22
20755	20704
26443	26443
12	55
660	682
7276	7277
8291	8426
38	38
23636	27
13969	13777
10347	10274
7993	7995
3932	3932
662	682
14462	13678
9274	7314
10328	9872
8767	8582
4570	0
14	14
60755	60755
3103	2970
10	10
3801	3494
5174	5245
6000	6341
11033	11313
8	8
16579	13760
10190	10173
8880	8880
5196	7518
4646	4474
1676	190
20	20
5864	5659
5703	536
9720	9720
20	20
8469	8597
2432	2279
7743	7765
14040	12600
8333	8333
5777	5946
3037	3478
6681	6762
11009	11009
6767	6970
7940	8324
1587	2320
5302	40
13116	14015
17748	17373
12841	0
6309	6281
2118	2190
12	12
1637	1636
0	0
42107	45137
1220	1220
7175	7397
17393	17514
33331	166754
0	0
8659	11285
16302	16383
173	10156
30791	30791
636	664
1032	12
16528	16585
13701	14231
3044	1535
4470	0
4097	4339
5756	5769
38	38
10463	10679
6152	6294
5956	6184
3206	3044
9316	9637
7282	1193
20851	22554
51118	27
10010	10010
418	418
3904	3946
2078	2052
0	0
686	708
8469	8363
44851	35812
38	38
6359	40
5058	5061
6591	6735
38	38
12117	7667
676	698
8423	8422
674	696
28222	25669
38	38
5790	5888
2383	2484
9470	8491
5415	5562
38	38
1734	1734
5808	5871
12313	12296
3637	2726
38	358
14873	16237
3826	3867
3622	3621
9956	10160
12760	12539
107634	94339
6603	6835
636	658
2877	3059
17	0
4688	4850
4511	4695
620	642
14	14
0	0
4437	4448
38	38
693	693
4167	4467
12099	11825
26246	26471
4487	4489
1625	1784
168	168
4870	5001
2606	1518
16736	16698
38	38
57782	61979
644	666
1627	190
12	55
2077	2035
38	38
8509	8078
5608	5295
8947	9119
10827	10518
5746	6016
6243	6350
12370	13135
42094	45177
1472	2409
1141	1127
8341	8513
1272	1280
636	547
5	5
648	566
8841	8812
2554	2777
4623	4598
14474	12296
29363	29620
11656	11628
130	130
11703	11812
0	0
382	0
10844	10830
13769	13739
53	53
0	1988
5887	5936
634	656
32654	27660
3752	3777
4	4
20306	40
9598	9659
8798	8989
3889	3989
6997	4565
5059	5059
12805	13116
4569	4702
7298	7118
1588	0
3857	422
17264	16275
3016	25
5011	5005
3544	3528
5367	5602
668	690
4103	4087
103	103
516	516
13333	16060
2024	2135
932	840
652	674
38	38
819	839
6238	6305
53	53
38	38
648	547
9172	481
4267	4262
7784	413
640	664
58	66
58	66
3996	3821
487	487
6646	6733
529	676
3028	3028
7809	7902
9224	9505
11459	11990
6078	6227
10031	1438
1138	2127
4963	5139
11921	12229
5823	5823
11095	55
10751	12146
529	662
6265	9386
2483	3895
8815	10076
14496	15355
14708	15985
5141	6308
9755	9959
1666	1584
401	0
5352	5399
38	38
4291	4380
4191	3832
12214	11592
68	0
7505	8113
9014	9092
15867	16018
204	198
7822	4627
5351	5526
38	358
8261	8320
641	641
17	17
4062	4063
33451	33391
7401	7064
938	781
9744	9298
4092	2884
43599	0
2099	2144
28668	30977
636	658
5305	5290
27	772
7492	7299
74	74
5352	2676
193	193
1032	12
1814	1948
5967	5458
2	2
8088	0
0	0
644	666
5522	5105
4721	4558
5532	5580
5566	5925
53	6768
1032	12
527	529
4017	3740
642	664
7443	7443
9863	9676
11668	4316
0	0
6613	6529
82	82
10480	11219
8619	8628
9555	10190
