151901549	622
203096228	409
81650379	201
47899646	2584
899863316	177
30802131	653
761396027446398976	216
20255236	15
825049390998024192	44
733536950963994624	136
737852660183932928	17
9630082	9596
258599525	1708
3122708646	5
1634706151	250
399805362	87
269424738	336
810540893396733953	20
1119502988	4275
783440136	231963
808893873766432768	1
58880930	624
47985362	723
801186507931455488	11
19203768	3962
2190533245	470
89504686	194
192964243	1735
113647306	1318
2936496598	257
3281181511	738
258032124	3200
3447506422	11
16564030	1713
30047063	2157
1695487818	4
2973715954	22
774187456191160320	14
3849211272	59
57750231	2644
19258241	1327
146209930	218
4481168962	15
2239653289	439
16868154	1697
3354096993	496
193063049	2049
468735081	557
138161380	707
17271698	848
3365719153	174
74541831	1105
5894872	1478
13645402	1780
729223119030751232	72
739900844531974144	165
1668275245	321
781886520978444288	8
570294703	3
24713262	2864
66188615	1234
774263152544452608	572
2806160786	529
1551367058	681
2852131203	740
4508117621	44
237086573	8
161598558	99
11164692	1093
737342173079736321	152
4738176435	33
7377862	1062
833373624	886
1393107912	32
48592998	1107
3321913552	1815
134569763	528
3412095995	352
729563714475700224	822
267189586	57
605923	650
14338221	266
33736942	4772
745643383188758528	372
745385398134661120	20
18957805	80567
708690890974470145	3
118078818	44
220983330	60
9308852	30757
744784018919432194	3
4497126976	1232
7591252	1083
24257870	892
753571748860293120	182
2416303724	538
45411436	53
24092133	1661
83170793	645
1836330308	750
373385155	111
256118545	5
455827771	60
1200468920	87
238653576	884
168780501	434
38438084	46
742243474485956608	9
41353586	1596
326644141	3
1009549428	374
734457556006010885	31
173013762	18
3935341	1523
277409211	2842
3111336135	11
415881007	1822
188811710	4672
86044173	32
2769879696	150
90033276	10
4151123165	4
720282585277063168	9
164478889	2192
543394546	3
106677153	4
3042711	1007
6021062	733
46299743	8285
708538857940070400	555
2495140081	3
719570834487144448	8
1606632924	24
309420446	1274
1480422979	7
15042751	1097
50379684	84
782931	5977
115917954	659
127125266	413
2473528178	284
54493821	63
305614894	91
118623489	62
376298824	1338
704273004717613056	547
1133038710	29
1299060908	245
2586364634	63
